Entity,Code,Share of people who trust their national government
Afghanistan,AFG,45.19529051
Albania,ALB,46.44411407
Algeria,DZA,38.0593098
Argentina,ARG,31.92407072
Armenia,ARM,79.74244434
Australia,AUS,46.97923889
Austria,AUT,59.51411089
Azerbaijan,AZE,88.28027359
Bangladesh,BGD,85.59957425
Belarus,BLR,47.39126444
Belgium,BEL,53.4546556
Benin,BEN,42.41171592
Bolivia,BOL,49.87210383
Bosnia and Herzegovina,BIH,21.09446821
Botswana,BWA,55.09423348
Brazil,BRA,14.50147619
Bulgaria,BGR,31.87849326
Burkina Faso,BFA,54.6611032
Burundi,BDI,60.46061558
Cameroon,CMR,51.24509231
Canada,CAN,65.08738358
Chad,TCD,45.42210117
Chile,CHL,43.26279147
Colombia,COL,30.40162995
Comoros,COM,25.42073101
Congo,COG,34.56901758
Costa Rica,CRI,59.62428331
Cote d'Ivoire,CIV,35.647216
Croatia,HRV,34.69689441
Cyprus,CYP,47.36977797
Czech Republic,CZE,46.50968547
Denmark,DNK,70.04632757
Dominican Republic,DOM,54.97629988
Ecuador,ECU,49.38321131
El Salvador,SLV,35.31609361
Estonia,EST,52.50994431
Ethiopia,ETH,92.34129794
Finland,FIN,61.45293997
France,FRA,45.88092327
Gabon,GAB,21.23467484
Gambia,GMB,71.55132418
Georgia,GEO,41.2450577
Germany,DEU,53.56518787
Ghana,GHA,65.84309869
Greece,GRC,17.22110334
Guatemala,GTM,38.16972694
Guinea,GIN,49.88572346
Haiti,HTI,46.01675053
Honduras,HND,45.05411814
Hungary,HUN,46.69851879
Iceland,ISL,58.42020747
India,IND,77.15111196
Indonesia,IDN,72.54421597
Iran,IRN,66.51466643
Iraq,IRQ,29.39124246
Ireland,IRL,67.14663918
Israel,ISR,60.63011702
Italy,ITA,33.775582
Japan,JPN,50.94904625
Jordan,JOR,58.89529884
Kazakhstan,KAZ,71.38929898
Kenya,KEN,64.53676556
Kosovo,OWID_KOS,37.0466569
Kyrgyzstan,KGZ,63.34180174
Latvia,LVA,29.5952816
Lebanon,LBN,30.62251417
Liberia,LBR,68.71309598
Libya,LBY,37.76555148
Lithuania,LTU,40.29961181
Luxembourg,LUX,80.01320748
Macedonia,MKD,39.31121464
Madagascar,MDG,33.57194173
Malawi,MWI,58.1345415
Malaysia,MYS,75.1715793
Mali,MLI,48.78180181
Malta,MLT,71.51763465
Mauritania,MRT,30.7528839
Mauritius,MUS,51.61487569
Mexico,MEX,37.08061673
Moldova,MDA,26.46578073
Mongolia,MNG,48.7756212
Montenegro,MNE,43.14891107
Morocco,MAR,35.86514548
Mozambique,MOZ,72.45270828
Myanmar,MMR,88.30477116
Namibia,NAM,58.01564363
Nepal,NPL,71.98113305
Netherlands,NLD,57.11289268
New Zealand,NZL,75.06291233
Nicaragua,NIC,39.03023926
Niger,NER,67.54100784
Nigeria,NGA,45.24078251
Northern Cyprus,OWID_CYN,48.80483432
Norway,NOR,89.08573629
Pakistan,PAK,57.68036352
Palestine,PSE,50.57273003
Panama,PAN,30.22555119
Paraguay,PRY,49.85533886
Peru,PER,33.74644658
Philippines,PHL,72.54271245
Poland,POL,55.94255452
Portugal,PRT,48.70432302
Romania,ROU,22.58985207
Russia,RUS,53.1311915
Rwanda,RWA,95.89997462
Senegal,SEN,54.95457211
Serbia,SRB,51.43361989
Sierra Leone,SLE,63.84384659
Singapore,SGP,73.57871558
Slovakia,SVK,48.96845244
Slovenia,SVN,30.35193868
South Africa,ZAF,42.21310176
South Korea,KOR,62.70989972
Spain,ESP,32.31604684
Sri Lanka,LKA,60.8498355
Swaziland,SWZ,65.06173663
Sweden,SWE,65.63389544
Switzerland,CHE,81.46982065
Taiwan,TWN,34.92992873
Tanzania,TZA,87.61743955
Thailand,THA,81.60090625
Togo,TGO,17.61994646
Tunisia,TUN,42.41596867
Turkey,TUR,56.5824679
Uganda,UGA,55.48746856
Ukraine,UKR,10.94897182
United Kingdom,GBR,51.02283254
United States,USA,47.42665101
Uruguay,URY,44.51229883
Uzbekistan,UZB,99.21937623
Venezuela,VEN,35.70427041
Yemen,YEM,35.10736215
Zambia,ZMB,56.70300313
Zimbabwe,ZWE,52.91058264